"%s; rev #%s","%s; 修订 #%s"
"Access Level","访问级别"
"New Page","新页面"
"New Revision","新修订"
"New Revision...","新修订..."
"Next","下一个"
"Next/Previous","下一个/上一个"
"No","否"
"No Nodes available","无可用节点"
"No preview available","无可用预览"
"Node","节点"
"Node Levels to Include","要包含的节点级别"
"Node Properties","节点属性"
"Node with same URL Key already exists.","使用相同URL Key的节点已存在。"
"Numbers (1, 2, 3, ...)","数字（1、2、3...）"
"Only Children","仅儿童"
"Ordered","已下单"
"Owner","所有者"
"Page ID","页面ID"
"Page Properties","页面属性"
"Page lock expires in 60 seconds. Save changes to avoid possible data loss.","页面将于60秒后锁定。请保存变动以避免数据丢失。"
"Page:","页面："
"Pages","页面"
"Pages Hierarchy","页面层次结构"
"Pagination Options for Nested Pages","嵌套页面的走马灯选项"
"Please select revision(s).","请选择修订。"
"Please select version(s).","请选择版本。"
"Preview","预览"
"Previous","上一个"
"Private","私有"
"Protected","受保护"
"Public","公开"
"Publish","发布"
"Publish Revision","发布修订"
"Published","已发布"
"Published Revision Unavailable","已发布的修订不可用"
"Remove From Tree","从树中删除"
"Render Metadata in HTML Head","在HTML头部渲染元数据"
"Revision #","修订 #"
"Revision #%s","修订 #%s"
"Revision #%s could not be removed because it is published.","修订 #%无法删除，因为已经发布了。"
"Revision Information","修订信息"
"Revisions Qty","修订数量"
"Right Column","右栏"
"Root","根"
"Save","保存"
"Save Pages Hierarchy","保存页面层次结构"
"Save Revision and Version","保存修订和版本"
"Save and Continue Edit","保存并继续编辑"
"Save and Publish","保存并发布"
"Save as New Version","保存为新版本"
"Save in New Version...","保存到新版本..."
"Select Page or Node...","选择页面或节点..."
"Specify New Version Name (required)","指定新版本的名称（必须）"
"Square","方块"
"Template","模板"
"The hierarchy has been saved.","该层次结构已保存。"
"The new version has been created.","该新版本已创建。"
"The revision has been deleted.","该修订已删除。"
"The revision has been published.","该修订已发布。"
"The revision has been saved.","该修订已保存。"
"The version has been deleted.","该版本已删除。"
"The version has been saved.","该版本已保存。"
"There are unsaved node data. Are you sure you want to proceed?","有未保存的节点数据。您是否确认要继续？"
"This Page Belongs To","该页面属于"
"This Page is locked by '%s'.","该页面被 '%s' 锁定。"
"This Page is locked by you.","该页面被您锁定。"
"This page cannot be added, because a node or page with the same URL Key already exists in this tree part.","该页面无法添加，因为该树中已经存在使用相同URL Key的节点或页面。"
"This page is currently locked.","该页面已锁定。"
"Title","标题"
"Total of %d record(s) have been deleted","总共删除了 %d个记录。"
"Total of %d record(s) have been deleted.","总共%d记录已被删除。"
"Tree Viewed","查看过的树"
"URL Key","URL Key"
"Unable to find a revision to delete.","无法找到要删除的修订。"
"Unable to find a version to delete.","无法找到要删除的版本。"
"Under Version Control","位于版本控制下"
"Unlock This Page","解锁该页面"
"Unordered","撤销下单"
"Update","更新"
"Upper Alpha (A, B, C, ...)","大写字母（A、B、C...）"
"Upper Roman (I, II, III, ...)","大写罗马数字（I、II、III...）"
"Use Parent","使用父母"
"Use default","使用默认"
"Version ""%s"" could not be removed because it is the last public version for its page.","版本“％s“不能被删除，因为它是这个页面最新发布的版本。"
"Version ""%s"" could not be removed because its revision has been published.","版本“％s“不能被删除，因为它的修订已发布。"
"Version #","版本 #"
"Version Control","版本控制"
"Version Information","版本信息"
"Version Label","版本标签"
"Version Revisions","版本修订"
"Version:","版本："
"Versions","版本"
"Website Root","网站根目录"
"Yes","是"
"You should specify valid name","您应制定有效名称"
"[No Owner]","[无所有者]"
