"* Required Fields","*必要字段"
"Form type has been deleted.","表单类型已删除。"
"Forms to Use In","表单将用于"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","在您的我的帐户仪表板中，您可以查看最近帐户活动的快照，并更新帐户信息。选择下面的链接以查看或修改信息。"
"Frontend Properties","前端属性"
"General","常规"
"General Information","常规信息"
"General Subscription","常规订阅"
"Go back","返回"
"Hello, %s!","您好， %s！"
"If you have an account with us, log in using your email address.","如果您在我们这里有帐户，那么请使用您的电子邮件地址登录。"
"Input Type","输入类型"
"Input Validation","输入验证"
"Input/Output Filter","输入/输出筛选器"
"Label","标签"
"Lines Count","行数"
"Login","登录"
"Login Information","登录信息"
"Login or Create an Account","登录或创建帐户"
"MM","MM"
"Manage Addresses","管理地址"
"Manage Customer Address Attributes","管理客户地址属性"
"Manage Customer Attributes","管理客户属性"
"Manage Form Types","管理表单类"
"Manage Label / Options","管理标签/选项"
"Maximum File Size (bytes)","最大文件体积（字节）"
"Maximum Image Height (px)","最大图像高度（像素）"
"Maximum Image Width (px)","最大图像宽度（像素）"
"Maximum Text Length","最大文字长度"
"Maximum value","最大值"
"Minimal value","最小值"
"Minimum Text Length","最小文字长度"
"Month","月"
"My Account Wrapper","我的帐户包装"
"My Dashboard","我的仪表板"
"New Address Entry","新地址项"
"New Attribute","新属性"
"New Customer Address Attribute","新客户地址属性"
"New Customer Attribute","新客户属性"
"New Customers","新客户"
"New Fieldset","新字段集"
"New Form Type","新表单类"
"New Password","新密码"
"Newsletter Subscription","新闻邮件订阅"
"Newsletters","新闻邮件"
"No","否"
"None","无"
"Password","密码"
"Personal Information","个人信息"
"Please enter your email below and we will send you the confirmation link for it.","请在下面输入您的电子邮件地址，我们会向您发送确认链接。"
"Please enter your email below and we\'ll send you a new password.","请在下面输入您的电子邮件地址，我们将向您发送密码。"
"Please select region, state or province","请选择地区、州，或省"
"Properties","属性"
"Register","注册"
"Registered Customers","已注册的客户"
"Remove","删除"
"Save","保存"
"Save Address","保存地址"
"Save Attribute","保存属性"
"Save Password","保存密码"
"Save and Continue Edit","保存并继续编辑"
"Send confirmation link","发送确认链接"
"Show on Frontend","在前端显示"
"Sign Up for Newsletter","订阅新闻邮件"
"Sort Order","排序顺序"
"State/Province","州/省"
"Store Credit","店铺信用"
"Store View","店铺视图"
"Street Address","街道地址"
"Submit","提交"
"System","系统"
"System form type cannot be deleted.","系统表单类无法删除。"
"Telephone","电话"
"The customer address attribute has been deleted.","客户地址属性已被删除。"
"The customer address attribute has been saved.","客户地址属性已被保存。"
"The customer attribute has been deleted.","客户属性已被删除。"
"The customer attribute has been saved.","客户属性已被保存。"
"This is My Default %s Address","这是我的默认 %s 地址"
"To use this attribute in address template you should edit it here.","要在地址模板中使用该属性，您需要在此处编辑。"
"Use Store Credit (%s available)","使用商店信用点数（%s 可用）"
"Use as My Default %s Address","使用并作为我的默认 %s 地址"
"Use as my default billing address","使用并作为我的默认账单地址"
"Use as my default shipping address","使用并作为我的默认运送地址"
"Use helper with defined EAV entity","使用包含已定义 EAV 实体的助手"
"Valid range 2-20","有效范围 2-20"
"Visible on Frontend","前端可见"
"YYYY","YYYY"
"Year","年"
"Yes","是"
"You are currently not subscribed to any newsletter.","您当前没有订阅任何新闻通讯。"
"You are currently subscribed to 'General Subscription'.","您当前已订阅“常规订阅”。"
"You are currently subscribed to our newsletter.","您当前已订阅我们的新闻通讯。"
"You cannot delete this attribute.","您无法删除该属性。"
"You cannot edit this attribute.","您无法编辑该属性。"
"You have no additional address entries in your address book.","您的地址薄中没有额外的地址条目。"
"You have no default billing address in your address book.","您的地址薄中没有默认账单地址。"
"You have no default shipping address in your address book.","您的地址薄中没有默认运送地址。"
"Zip/Postal Code","邮政编码"
