"-- First Please Select a Website --","Wählen Sie zuerst bitte eine Webseite aus"
"Action","Aktion"
"Gift Card Balance Check Form","Überprüfungsformular Geschenkgutschein-Guthaben"
"Gift Card Code","Geschenkgutschein-Code"
"Gift Card Email Sender","Absender Geschenkgutschein-E-Mail"
"Gift Card Template","Geschenkgutschein-Vorlage"
"Gift Card amount applied to order: %s","Auf die Bestellung angewendeter Geschenkgutschein-Betrag: %s"
"Gift Card status","Geschenkgutschein-Status"
"Gift Card: %s","Geschenkgutschein: %s"
"Gift Cards","Geschenkgutscheine"
"Gift card account %s balance does not have funds.","Der Saldo des Geschenkgutscheinkontos %s enthält kein Guthaben."
"Gift card account %s balance is less than amount to be charged.","Der Saldo des Geschenkgutscheinkontos %s liegt unter dem Rechnungsbetrag."
"Gift card account %s is expired.","Das Geschenkgutscheinkonto %s ist abgelaufen."
"Gift card account %s is not enabled.","Das Geschenkgutscheinkonto %s ist nicht aktiviert."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Haben Sie einen Geschenkgutschein? <a href=""%s"">Klicken Sie hier</a>, um Ihren Gutschein einzulösen."
"History","Verlauf"
"ID","ID"
"Information","Information"
"Invalid customer ID supplied.","Ungültige Kunden-ID angegeben."
"Low Code Pool Threshold","Schwelle niedriger Code-Pool"
"Manage Gift Card Accounts","Geschenkgutschein-Konten verwalten"
"Maximum generated code length is 255. Please correct your settings.","Die maximale generierte Code-Länge beträt 255. Bitte korrigieren Sie Ihre Einstellungen."
"New Account","Neues Konto"
"New Gift Card Account","Neues Geschenkgutschein-Konto"
"New Pool Size","Neue Pool-Größe"
"New code pool was generated.","Neuer Code-Pool wurde generiert."
"No","Nein"
"No codes left in the pool.","Keine Codes mehr im Pool."
"Numeric","Numerisch"
"Order #%s.","Bestellung #%s."
"Please assign gift card account.","Bitte Geschenkgutschein-Konto zuweisen."
"Please select gift card account(s)","Bitte Geschenkgutschein-Konto/-Konten auswählen."
"Please wait, loading...","Bitte warten, wird geladen…"
"Recipient Email","E-Mail des Empfängers"
"Recipient Name","Name des Empfängers"
"Recipient: %s.","Empfänger: %s."
"Recipient: %s. By admin: %s.","Empfänger: %s. Durch Admin: %s."
"Redeem Gift Card","Geschenkgutschein einlösen"
"Redeemable","Einlösbar"
"Redeemed","Eingelöst"
"Redemption functionality is disabled.","Einlöse-Funktion ist deaktiviert."
"Refund Gift Cards to Store Credit","Geschenkgutscheine auf Shopguthaben zurückvergüten"
"Refunded to Store Credit","Auf Shopguthaben zurückvergütet"
"Remove","Entfernen"
"Save","Speichern"
"Save & Send Email","Speichern & E-Mail senden"
"Send Gift Card","Geschenkgutschein senden"
"Sent","Gesendet"
"Status","Status"
"Store Credit","Shopguthaben"
"The gift card account has been saved and sent.","Das Geschenkgutschein-Konto wurde gespeichert und versendet."
"The gift card account has been saved, but email was not sent.","Das Geschenkgutschein-Konto wurde gespeichert, es wurde aber keine E-Mail gesendet."
"The gift card account has been saved.","Das Geschenkgutschein-Konto wurde gespeichert."
"This Gift Card Account no longer exists.","Dieses Geschenkgutschein-Konto existiert nicht mehr."
"This gift card account is already in the quote.","Das Geschenkgutscheinkonto ist bereits im Angebot enthalten."
"This gift card account wasn\'t found in the quote.","Dieses Geschenkgutscheinkonto wurde im Angebot nicht gefunden."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Um Geschenkgutscheine hinzuzufügen oder zu entfernen, <a href=""%s"">klicken Sie hier</a>."
"Total of %d record(s) have been deleted.","Insgesamt %d Datensätze wurden gelöscht."
"Unable to create full code pool size. Please check settings and try again.","Volle Code-Pool-Größe kann nicht erstellt werden. Bitte überprüfen Sie Ihre Einstellungen und versuchen Sie es erneut."
"Unable to find a Gift Card Account to delete.","Geschenkgutschein-Konto kann nicht gefunden werden, um gelöscht zu werden."
"Unable to generate new code pool.","Neuer Code-Pool kann nicht generiert werden."
"Unknown history action.","Unbekannte Verlaufs-Tätigkeit."
"Updated","Aktualisiert"
"Used","Genutzt"
"WARNING: Save your configuration before running generation process.","ACHTUNG: Speichern Sie Ihre Konfiguration, bevor Sie den Generierungsprozess starten."
"Website","Webseite"
"Wrong gift card account ID. Requested code: ""%s""","Falsche ID-Nr. des Geschenkgutscheinkontos. Erforderlicher Code: ""%s"""
"Wrong gift card account code: ""%s"".","Falscher Code des Geschenkgutscheinkontos: ""%s""."
"Wrong gift card account website: %s.","Falsche Website des Geschenkgutscheinkontos: %s."
"Wrong gift card code.","Falscher Geschenkgutscheincode."
"Wrong or expired Gift Card Code.","Falscher oder verfallener Geschenkgutschein-Code."
"Yes","Ja"
"if empty no separation.","wenn leer keine Trennung."
