"%d email(s) were sent.","%d E-Mail(s) wurde(n) versandt."
"%d item(s) have been added to gift registry.","%d Artikel wurde(n) zu Ihrem Geschenkregister hinzugefügt."
"%s","%s"
"* Required Fields","*Pflichtfelder"
"New Gift Registry Type","Neuer Geschenkregistertyp"
"New Type","Neuer Typ"
"Next","Nächstes"
"No","Nein"
"No address selected.","Keine Adresse gewählt."
"None","Keine"
"Note","Notiz"
"Nothing to add to gift registry.","Nichts zum Geschenkregister hinzuzufügen"
"Out of stock","ausverkauft"
"Owner","Besitzer"
"Owner Notification","Besitzerbenachrichtigung"
"Please Select","Bitte auswählen"
"Please add rows to option.","Bitte rows zur Option hinzufügen"
"Please enter at least 2 letters of the first name.","Bitte geben Sie zumindest 2 Buchstaben des Vornamens ein."
"Please enter at least 2 letters of the last name.","Bitte geben Sie zumindest 2 Buchstaben des Nachnamens ein."
"Please enter at least 2 letters.","Bitte geben Sie zumindest 2 Buchstaben ein."
"Please enter correct ""%s"".","Bitte geben Sie ""%s"" korrekt ein."
"Please enter the ""%s"".","Bitte geben Sie ""%s"" ein."
"Please enter valid email addresses, separated by comma.","Bitte geben Sie gültige E-Mail Adressen, durch Komma getrennt ein."
"Please input a valid email address.","Bitte geben Sie eine gültige E-Mail Adresse ein."
"Please select gift registry type","Bitte wählen Sie einen Geschenkregistertyp."
"Please select region, state or province","Bitte wählen Sie Region, Staat oder Provinz."
"Please specify at least one email.","Bitte spezifizieren Sie zumindest eine E-Mail Adresse."
"Please specify correct search options.","Bitte spezifizieren Sie korrekte Suchoptionen."
"Please specify gift registry ID.","Bitte spezifizieren Sie Geschenkregister ID."
"Please specify the quantity of items that you want to add to cart.","Bitte spezifizieren Sie die Anzahl der Artikel, die Sie zum Warenkorb hinzufügen wollen."
"Please use different input type for this code.","Bitte verwenden Sie einen anderen Eingabetypen für diesen Code."
"Please wait, loading...","Bitte warten, es wird geladen..."
"Price","Preis"
"Privacy Settings","Privatsphäreeinstellungen"
"Private","Privat"
"Product","Produkt"
"Product ID","Produkt ID"
"Product Name","Produkt Name"
"Product SKU","Produkt SKU"
"Public","Öffentlich"
"Qty","Anzahl"
"Qty Fulfilled","Erfüllte Anzahl"
"Qty:","Anzahl:"
"Quantity","Anzahl"
"Quick Search Form Types","Schnellsuche Formulartypen"
"RSS Feed","RSS Feed"
"Recipient","Empfänger"
"Recipient Email","Empfänger E-Mail"
"Recipient Email Search","Empfänger E-Mail Suche"
"Recipient Name Search","Empfänger Namenssuche"
"Recipient:","Empfänger:"
"Recipients","Empfänger"
"Recipients Information","Empfängerinformationen"
"Registry owner","Registerbesitzer"
"Remaining","Restliche"
"Remaining Quantity","Restliche Anzahl"
"Remove","Entfernen"
"Remove Email","E-Mail entfernen"
"Remove Item","Aritkel entfernen"
"Remove item","Artikel löschen"
"Requested","Angefordert"
"Requested Quantity","Angeforderte Anzahl"
"Role","Rolle"
"Save","Speichern"
"Save and Continue Edit","Speichern und weiter berarbeiten"
"Search","Suche"
"Search By","Suche nach"
"Search Options","Suchoptionen"
"Search Results","Suchergebnisse"
"Select","Auswählen"
"Select Gift Registry","Geschenkregister auswählen"
"Select Search Type","Suchtyp auswählen"
"Select a shipping address from your address book or enter a new address.","Wählen Sie eine Lieferadresse aus Ihrem Adressbuch oder legen Sie eine neue Adresse an."
"Send From","Formular senden"
"Sender:","Absender:"
"Share","Teilen"
"Share '%s' Gift Registry","Wunschzettel ""%s"" teilen"
"Share Gift Registry","Geschenkregister teilen"
"Share Wishlist","Wunschzettel teilen"
"Sharing Information","Zugriffinformationen"
"Ship to recipient's address.","An die Empfängeradresse liefern."
"Ship to recipient\'s address","An die Empfaengeradresse liefern"
"Shipping Address","Lieferadresse"
"Shopping Cart Items","Warenkorbartikel"
"Shopping cart items have been added to gift registry.","Warenkorbartikel wurden zum Geschenkregister hinzugefügt."
"Short","Kurz"
"Show Region","Region anzeigen"
"Sort Order","Sortierfolge"
"State/Province","Staat/Provinz"
"Static Types","Statische Typen"
"Status","Status"
"Street Address","Adresse"
"Street Address %s","Adresse %s"
"Telephone","Telefon"
"Text","Text"
"The gift registry entity has been deleted.","Die Geschenkregister entity wurde gelöscht."
"The gift registry has been shared for %d emails.","Das Geschenkregister wurde für %d E-Mails freigegeben."
"The gift registry items have been updated.","Die Artikel im Geschenkregister wurden aktualisiert."
"The gift registry type has been deleted.","Der Geschenkregistertyp wurde gelöscht."
"The gift registry type has been saved.","Der Geschenkregistertyp wurde gespeichert."
"There are no created gift registries yet.","Es wurden noch keine Geschenkregister erstellt."
"There is no active gift registries.","Es gibt keine aktiven Geschenkregister."
"This product(s) is currently out of stock.","Diese(s) Produkt(e) ist/sind derzeit ausverkauft."
"To","An"
"To make search results narrower, specify gift registry type prior to searching. By default, all registry types are searched.","Um die Suchergebnisse einzuschränken, spezifizieren Sie einen Geschenkregistertypen vor der Suche. Standardgemäß werden alle Registertypen durchsucht."
"Total","Gesamt"
"Total Fulfilled Quantity","Insgesamt erfüllte Anzahl"
"Total Items","Gesamtsumme Artikel"
"Type","Typ"
"Type Specific Options","Typspezifische Optionen"
"Unit Price","Einheitspreis"
"Update Gift Registry","Geschenkregister aktualisieren"
"Update Items and Qty\'s","Aritkel und Anzahl aktualisieren"
"Update Qty","Anzahl aktualisieren"
"Update Wishlist","Wunschzettel aktualisieren"
"Use Default Value","Standardwert verwenden"
"Use gift registry shipping address","Lieferadresse des Geschenkregisters verwenden"
"View","Ansehen"
"Virtual, Downloadable, and virtual Gift Card products cannot be added to gift registries.","Virtuelle, herunterladbare und virtuelle Geschenkkartenprodukte können nicht zum Geschenkregister hinzugefügt werden."
"Website","Website"
"Wishlist item have been added to gift registry.","Wunschzettelartikel wurde zum Geschenkregister hinzugefügt."
"Wrong gift registry ID specified.","Falsche Wunschzettel-ID angegeben."
"Wrong gift registry entity requested.","Falsche Geschenkregister entity angefordert."
"Wrong gift registry item ID specified.","Falsche Wunschzettelartikel-ID angegeben."
"Wrong gift registry type requested.","Falscher Geschenkregistertyp angefordert."
"Yes","Ja"
"You have no items in your wishlist.","Sie haben keine Aritkel auf ihrem Wunschzettel."
"Your search returned no results.","Ihre Suche ergab keine Ergebnisse."
"Your search returns no results.","Ihre Suche ergibt keine Ergebnisse."
"Zip/Postal Code","Postleitzahl"
"Gift Registry has been successfully saved.","Die Eintragung des Geschenkes wurde erfolgreich gespeichert."
