"-- Not Selected --","-- Niet geselecteerd --"
"Active","Actief"
"Matched At","Overeengekomen op"
"Matched Customers","Overeengekomen klanten"
"Maximum Emails per One Run","Maximaal aantal e-mails per keer"
"Minute of the Hour","Minuut van het uur"
"N/A","n.v.t."
"New Rule","Nieuwe regel"
"No","Nee"
"Number of Items","Aantal items"
"Numeric Attribute","Numerisch attribuut"
"Overrides default titles and descriptions. Note that if email an template is not specified for this store view, the respective variable values will be deleted.","Overschrijft standaard titels en omschrijvingen. Let op, indien e-mail en template niet gespecificeerd zijn voor deze winkelweergave, zullen respectievelijk variabele waarden worden verwijderd."
"Please, specify correct minutes of hour.","Specificeer a.u.b. correct aantal minuten vanaf het uur."
"Product %s","Product %s"
"Product Attributes","Product Kenmerken"
"Promo Section","Promotie sectie"
"Promotion rule this reminder will advertise.","Promotie regel die deze herinnering zal adverteren"
"Promotions","Aanbiedingen"
"Reminder Email Sender","Herinnerings-email verzender"
"Reminder Rules","Herinneringsregels"
"Reminder emails may promote a shopping cart price rule with or without coupon. If a shopping cart price rule defines an auto-generated coupon, this reminder rule will generate a random coupon code for each customer.","Herinnerings-emails kunnen een winkelwagenprijs met of zonder tegoedbon aanbieden. Indien een winkelwagenprijs een zelf-gegenereerde tegoedbon definieert, zal deze herinneringsregel een willekeurige tegoedbon-code voor elke nieuwe klant aanmaken."
"Reminder rule matching error.","Herinneringsregel komt overeen met fout"
"Repeat Schedule","Herhaal schema"
"Root shopping cart condition should have days value at least 0.","Winkelkaart moet tenminste enkele dagen minstens waarde 0 hebben."
"Root wishlist condition should have days value at least 1.","Root verlanglijst moet dag waarde hebben van ten minste 1."
"Rule Description for All Store Views","Beschrijving van de regel voor alle winkel views"
"Rule Information","Regel Informatie"
"Rule Name","Regel Naam"
"Rule Reminder","Regel Herinnering"
"Rule Title for All Store Views","Regel titel voor alle winkel views."
"Rule label and descriptions are accessible in email templates as variables, may be defined per store view.","Regel label en beschrijvingen zijn in e-mail templates als variabelen, kan worden gedefinieerd per winkel view."
"Rule will work only if at least one condition is specified.","Regel zal alleen werken als ten minste één voorwaarde is opgegeven."
"Run Now","Nu uitvoeren"
"SKU","stock keeping unit"
"Save","Sla op"
"Save and Continue Edit","opslaan en doorgaan met bewerken"
"Set this value not less than your cron.php launch period.","Stel deze waarde niet lager in dan uw cron.php lancering periode."
"Sharing","Delen"
"Shopping Cart","winkelwagen"
"Shopping Cart Price Rule","Winkelwagen Prijs Regel"
"Start Time","Begin Tijd"
"Status","status"
"Store View","winkelweergave"
"The reminder rule has been deleted.","De herinnering regel is geschrapt."
"The reminder rule has been matched.","De herinnering regel is geëvenaard."
"The reminder rule has been saved.","De herinnering regel is opgeslagen."
"This rule is assigned to %s automated reminder rule(s). Deleting this rule will automatically unassign it.","Deze regel wordt toegewezen aan %s geautomatiseerde herinnering regel(s). Verwijderen van deze regel zal het automatisch niet toewijzen."
"Thread Active","Thread Actief"
"Titles and Descriptions Per Store View","Titels en beschrijvingen per winkel bekijken"
"Total Amount","Totaal Bedrag"
"Unknown attribute specified","Onbekend kenmerk gespecificeerd"
"Unknown operator specified.","Opgegeven operator onbekend."
"Unknown quote total specified","Onbekend offerte totaal gespecificeerd"
"Up to %s customers may receive reminder email after this action.","Tot %s klanten kunnen een herinnerings e-mail ontvangen na deze actie."
"Valid range: 0-59 (default 0).","Geldige bereik: 0-59 (standaard 0)."
"Virtual Only","Alleen Virtueel"
"Website","Website"
"Wishlist","Verlanglijst"
"Wrong reminder rule requested.","Verkeerde herinnerings regel aangevraagd."
"Yes","Ja"
"base cost","basiskosten"
"base price","basisprijs"
"does not have","bevat geen"
"found","gevonden"
"grand total","algemeen totaal"
"has","heeft (in andere context: bevat)"
"is","is"
"is not","is niet"
"not found","niet gevonden"
"quantity","hoeveelheid"
"row weight","rij gewicht"
"subtotal","subtotaal"
"weight","gewicht"
