"-- First Please Select a Website --","-- Selecteer eerst a.u.b. een website --"
"Action","actie"
"Gift Card ""%s"" was added.","Geschenkbon ""%s"" werd toegevoegd."
"Gift Card ""%s"" was redeemed.","Geschenkbon ""%s"" werd ingelost."
"Gift Card ""%s"" was removed.","Geschenkbon ""%s"" werd verwijderd."
"Gift Card (%s)","Cadeaukaart (%s)"
"Gift Card Account","Cadeaukaart rekening"
"Gift Card Account General Settings","Cadeaukaart rekening standaardwaarden"
"Gift Card Account Sent From Edit Page","Cadeaukaart rekening verzonden vanaf bewerk-pagina"
"Gift Card Account has been deleted.","Cadeaukaart rekening is verwijderd"
"Gift Card Accounts","Cadeaukaart rekeningen"
"Gift Card Balance Check Form","Cadeaukaart saldo controleer formulier"
"Gift Card Code","Cadeaukaart code"
"Gift Card Email Sender","Cadeaukaart e-mail verzender"
"Gift Card Template","Cadeaukaart template"
"Gift Card amount applied to order: %s","Cadeaukaart bedrag toegepast op bestelling: %s"
"Gift Card status","Cadeaukaart status"
"Gift Card: %s","Cadeaukaart: %s"
"Gift Cards","Cadeaukaarten"
"Gift card account %s balance does not have funds.","Geschenkbon account %s heeft geen saldo."
"Gift card account %s balance is less than amount to be charged.","De balans van geschenkbon account %s is minder dan het te betalen bedrag."
"Gift card account %s is expired.","Geschenkbon account %s is verlopen."
"Gift card account %s is not enabled.","Geschenkbon account %s is niet ingeschakeld."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","Heeft u een cadeaubon? <a href=""%s"">Klik hier</a> om deze in te lossen."
"History","Geschiedenis"
"ID","identiteit"
"Information","Informatie"
"Invalid customer ID supplied.","Ongeldige klant-ID ingevoerd."
"Low Code Pool Threshold","Lage code-poel drempel"
"Manage Gift Card Accounts","Beheer cadeaukaart rekeningen"
"Maximum generated code length is 255. Please correct your settings.","Maximale gegenereerde code-lengte is 255. Corrigeer uw waarden a.u.b."
"New Account","Nieuwe rekening"
"New Gift Card Account","Nieuwe cadeaukaart rekening"
"New Pool Size","Nieuwe poelgrootte"
"New code pool was generated.","Nieuwe code-poel is gegenereerd"
"No","Nee"
"No codes left in the pool.","Geen codes meer in de poel"
"Numeric","Numerisch"
"Order #%s.","Bestelling #%s."
"Please assign gift card account.","Wijs a.u.b. cadeaukaart rekening toe"
"Please select gift card account(s)","Selecteer a.u.b. cadeaukaart rekening(en)"
"Please wait, loading...","Wacht a.u.b., aan het laden..."
"Recipient Email","E-mail van ontvanger"
"Recipient Name","Naam van ontvanger"
"Recipient: %s.","Ontvanger: %s."
"Recipient: %s. By admin: %s.","Ontvanger: %s. Door beheerder: %s."
"Redeem Gift Card","Cadeaukaart inwisselen"
"Redeemable","inwisselbaar"
"Redeemed","Ingewisseld"
"Redemption functionality is disabled.","Inwisselingsfunctionaliteit is uitgeschakeld."
"Refund Gift Cards to Store Credit","Retourneer cadeaukaarten naar winkelcrediet"
"Refunded to Store Credit","Geretourneerd naar winkelcrediet."
"Remove","weghalen"
"Save","Sla op"
"Save & Send Email","Opslaan & e-mail versturen"
"Send Gift Card","Verstuur cadeaukaart"
"Sent","Verstuurd"
"Status","status"
"Store Credit","winkelcrediet"
"The gift card account has been saved and sent.","De cadeaukaart rekening is opgeslagen en verzonden"
"The gift card account has been saved, but email was not sent.","De cadeaukaart rekening is opgeslagen, maar is niet verstuurd via e-mail"
"The gift card account has been saved.","De cadeaukaart rekening is opgeslagen."
"This Gift Card Account no longer exists.","Deze cadeaukaart rekening bestaat niet langer."
"This gift card account is already in the quote.","Deze cadeaubon account staat reeds in de offerte."
"This gift card account wasn\'t found in the quote.","Deze cadeaubon account werd niet gevonden in de offerte."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Om cadeaubonnen toe te voegen of te verwijderen, <a href=""%s"">klik hier</a>."
"Total of %d record(s) have been deleted.","Het totaal aan ... records is weggehaald."
"Unable to create full code pool size. Please check settings and try again.","Niet in staat om volle code-poel grootte te creëren. Controleer uw waarden a.u.b. en probeer opnieuw."
"Unable to find a Gift Card Account to delete.","Niet in staat om cadeaukaart rekening te vinden om te verwijderen."
"Unable to generate new code pool.","Niet in staat om nieuwe code-poel te genereren."
"Unknown history action.","Onbekende actie in geschiedenis"
"Updated","Geüpdate"
"Used","Gebruikt"
"WARNING: Save your configuration before running generation process.","WAARSCHUWING: Sla uw configuratie op alvorens generatie proces te starten."
"Website","Website"
"Wrong gift card account ID. Requested code: ""%s""","Verkeerde ID van cadeaubon account. Opgevraagde code: ""%s"""
"Wrong gift card account code: ""%s"".","Verkeerde code van cadeaubon account: ""%s""."
"Wrong gift card account website: %s.","Verkeerde website van cadeaubon account: %s."
"Wrong gift card code.","Verkeerde cadeaubon code."
"Wrong or expired Gift Card Code.","Onjuiste of verlopen cadeaukaart code"
"Yes","Ja"
"if empty no separation.","Indien leeg geen separatie"
