"-- First Please Select a Website --","-- Por favor, Primero Elija
una Página de Internet --"
"Gift Card: %s","Tarjeta de Regalo: %s"
"Gift Cards","Tarjetas de Regalo"
"Gift card account %s balance does not have funds.","La cuenta de la tarjeta de regalo %s no tiene fondos."
"Gift card account %s balance is less than amount to be charged.","El saldo en la cuenta de la tarjeta de regalo %s es menor que la cantidad a cobrar."
"Gift card account %s is expired.","La cuenta de la tarjeta de regalo %s ha caducado."
"Gift card account %s is not enabled.","La cuenta de la tarjeta de regalo %s no está activada."
"Have a gift card? <a href=""%s"">Click here</a> to redeem it.","¿Tiene una tarjeta de regalo? <a href=""%s"">Pulse aquí</a> para canjearla."
"History","Historial"
"ID","ID"
"Information","Información"
"Invalid customer ID supplied.","Se ha proporcionado un ID incorrecto de cliente."
"Low Code Pool Threshold","Umbral bajo de Fondo Común de Códigos"
"Manage Gift Card Accounts","Gestionar Cuentas de Tarjetas de Regalo"
"Maximum generated code length is 255. Please correct your settings.","El tamaño máximo código generado es 255. Por favor, corrige tu configuración."
"New Account","Nueva Cuenta"
"New Gift Card Account","Nueva Cuenta de Tarjeta de Regalo"
"New Pool Size","Nuevo Tamaño de Pool"
"New code pool was generated.","Se ha generado un nuevo pool de códigos"
"No","No"
"No codes left in the pool.","No hay más códigos en el pool"
"Numeric","Numérico"
"Order #%s.","Pedido #%s."
"Please assign gift card account.","Por favor, asignar cuenta de tarjeta de regalo."
"Please select gift card account(s)","Por favor, seleccionar cuenta(s) de tarjeta de regalo."
"Please wait, loading...","Espera, por favor. Cargando...."
"Recipient Email","E-mail del Destinatario"
"Recipient Name","Nombre del Destinatario"
"Recipient: %s.","Receptor %s."
"Recipient: %s. By admin: %s.","Receptor %s.. Por administrador: %s."
"Redeem Gift Card","Recuperar Tarjeta de Regalo"
"Redeemable","Canjeable"
"Redeemed","Recuperada"
"Redemption functionality is disabled.","La funcionalidad de recuperación está deshabilitada"
"Refund Gift Cards to Store Credit","Reembolsar Tarjetas de Regalo al Crédito de Tienda"
"Refunded to Store Credit","Reembolsado al Crédito de Tienda"
"Remove","Eliminar"
"Save","Guardar"
"Save & Send Email","Guardar y Enviar Email"
"Send Gift Card","Enviar Tarjeta de Regalo"
"Sent","Enviada"
"Status","Estado"
"Store Credit","Crédito de Tienda"
"The gift card account has been saved and sent.","La cuenta de tarjeta de regalo se ha guardado y enviado"
"The gift card account has been saved, but email was not sent.","La cuenta de tarjeta de regalo se ha guardado, pero no se ha enviado el mail."
"The gift card account has been saved.","Se ha guardado la cuenta de tarjeta de regalo."
"This Gift Card Account no longer exists.","No existe la Cuenta de Tarjeta de Regalo."
"This gift card account is already in the quote.","La cuenta de la tarjeta de regalo ya está en la oferta."
"This gift card account wasn\'t found in the quote.","No se encontró la cuenta de la tarjeta de regalo en la oferta."
"To add or remove gift cards, <a href=""%s"">click here</a>.","Para agregar o eliminar tarjetas de regalo, <a href=""%s"">pulse aquí</a>."
"Total of %d record(s) have been deleted.","Total de % registrado se ha eliminado."
"Unable to create full code pool size. Please check settings and try again.","Imposible crear todo el tamaño de pool de códigos. Por favor, comprueba la configuración e inténtalo de nuevo"
"Unable to find a Gift Card Account to delete.","Imposible encontrar una Cuenta de Tarjeta de Regalo para borrar."
"Unable to generate new code pool.","Imposible generar un pool nuevo de códigos."
"Unknown history action.","Acción de historial desconocida."
"Updated","Actualizado"
"Used","Usado"
"WARNING: Save your configuration before running generation process.","AVISO: Guarda tu configuración antes de ejecutar el proceso de generación."
"Website","Sitio web"
"Wrong gift card account ID. Requested code: ""%s""","Identificación de cuenta de regalo incorrecta. Código solicitado: ""%s"""
"Wrong gift card account code: ""%s"".","Código de cuenta de la tarjeta de regalo incorrecto: ""%s""."
"Wrong gift card account website: %s.","Página web de la cuenta de la tarjeta de regalo incorrecta: %s."
"Wrong gift card code.","Código de la tarjeta de regalo incorrecta."
"Wrong or expired Gift Card Code.","Código de Tarjeta de Regalo incorrecto o caducado."
"Yes","Sí"
"if empty no separation.","Sin separación en caso de estar vacío."
